Pato|Sanchismo en estado puro, suciedad, mentiras, incompetencia, delitos, chulería y cobardía.
uno_que_pasaba|@ADELE_ #440 Cerrar Disculpen a @ El_futuro_ya_paso # 411, pronto morirá y está delirando. la pastilla, abuela, último aviso. @mercurio1 #439 Cerrar @ Fakejo # 418 así es,un panfleto de la derecha no, mejor la secta, lo país, el mal llamado "el plural", el diario, la ser... Vamos, todo el equipo de opinión sincronizada. Que vosotros habléis de panfleto tiene narices.
mago1967|El PSOE toma a sus votantes por tontos. Está tipa acepta que engañaba a todo el mundo, ofreciendo recompensas que sólo el Poder puede dar a cambio de informaciones y silencios útiles para la familia Sanchez pero con los que se supone que iba a escribir un libro. El PSOE aprende de Abalos sustituyendo el falso expediente de expulsión que nunca se resuelve por una renuncia de boca pequeña y temporal. Reunión con Santos Cerdán para que los de dentro vean claro que todo es un teatro de cara a los tontos de sus votantes pero no va en serio, no vayan a desatarse los bocazas a lo Marichús y se entusiasmen como si lo de que el PSOE echa a los corruptos fuera en serio. Así se evita que haya que recordarles que el corrupto actuaba de acuerdo con Sánchez como tuvo que hacer Abalos
Hortensia|@lukaslukas #465 Cerrar @ Ciudadanno # 433 tenéis miedo de volver a perder, verdad? .Te refieres a los tuyos y a Sanchinflas,con el peor resultado del PSOE en toda la democracia y por debajo del PP?
LuisM|Igual nos encontramos sufriendo un golpe de estado, hay antecedentes históricos en España. Según wikipedia: :¿El Golpe de Estado también puede darse en el momento en que un poder del estado intenta o derroca a los otros poderes, o si se interfiere de manera jurídica en las elecciones populares para la elección de un presidente o jefe de Gobierno.¿ Interferencias en la elección del galgo de Paiporta las que quieras
El_Tio_Calambres|Personaje siniestro donde los haya, la tipa esta
AngelGC|¿Qué tenemos: Mafia (crimen organizado) o Hampa (crimen desorganizado)?. Si es Mafia Sánchez es el capo. Si es Hampa Sánchez es el responsable. Dimisión o elecciones generales ante este clima putrefacto.
retama18|@nedense #391 Cerrar Aparece Aldama defendiendo al PP,la policía golpista queda bien en Madrid y telemadrid con sus fanáticos pero en el norte crea una gran división y la gente no cree en España porque no existe,es el Reino de Madrid,la prensa Madrileña,el PP que es el partido de Ayuso y de Madrid, en el norte repito no tragamos y este este país gracias a Madrid y sus medios afines y la policía golpista no tiene sentido en mi tierra y cada vez más la distancia es sideral entre Madrid y la idea nuestra entre una convivencia que hoy por hoy es imposible,así que a tomar vuestras cañas madrileñas,ser los más chulos que los demás somos aburridos y muertos de hambre,que disfrute Ayuso de su fruta y su ático que aquí tenemos desde hace años,en todo el norte,una idea clara de los madrileños,en mi tierra se llaman fodechinchos y son los extranjeros menos queridos,pues seguir con vuestros medios de comunicación que habéis matado a España,ya no existe,es el Reino de Madrid y la princesa Ayuso A mi no me gustan los toros así que comeros con patatas vuestros Sanfermines, con tanto garrulo corriendo delante de unos pobres animales asustados. Más miedo tenéis a la presidenta de la comunidad de Madrid que a esos inocentes novillos.
retama18|@El_Tio_Calambres #471 Cerrar Cómo se ha podido llegar a esto en España? Es necesaria una renovación completa de la política española y hay que hacerlo sin la izquierda, es el veneno Dejarán todo tan mal que los que vengan no podrán arreglarlo. Ni un Franco que resucitase podría .Olvídese amigo .
FURILO|@skovde1 #470 Cerrar @ ADELE_ # 442 Que sí señora que sí, descanse un rato. Debería avergonzarle defender a este cartel. Por muy de izquierda que sea usted, no tiene nada de izquierda lo que están haciendo o piensa usted que sí?? esto es política de izquierdas?? y no venga con que el PP más. la culpa es vuestra por leer y contestar a esta indigente mental...jijijijijijiji..
Lakuky|Nos toman por tontos. Que vergüenza
noos|Todos en vilo ... detrás de estos 3 frikies ... empeñados en notoriedad (Leire) ... retener el botín (Aldama) .. y quedar eximido (perez dolset) ... y claro el gran perdedor (feijoó) .. talando y talando las ramas de ese árbol eXpaña ... para hacer leña e incendiarla¿?¿? ..
MDEinSPAIN|Espero q Aldama saque a la luz todo lo q tenga contra estos delincuentes del gobierno sanchista.
PAUS|@LuisRos #464 Cerrar En paralelo Prisa despide a Pepa Bueno, Compromis parece se va de Sumar, Page dice que Sanchez no contamine las elecciones locales,... Esto se descompone muy rapidamente. Y Sanchez solo espera que el oasis del verano traiga algo de paz, pero no: cada dia es peor que el anterior, y el hedor del Sanchismo es ya insoportable Han echado a Pepa Bueno? Me alegro.
nedense|@AdPS #401 Cerrar @ nedense # 395 ¿Esto es un intento de recuperar votantes gallegos? ¿Está por ahí tu papá para decirle que te ponga eso del control parental? ... ¿Cuántos países españoles hay ahora? Joer, con los cambios en educación que no avisan que ya nos han cambiado el mapa. Está es la realidad de mi tierra de la que vives muy alejado,Ayuso es odiada por el PP gallego no sólo por mí,y de los votantes del PP gallego más del 50% son nacionalistas de derechas y hablan gallego,no te confundas madrileño,además la opinión del 90% de los gallegos respecto a los madrileños es la misma sean de de derechas,izquierdas o nacionalistas,mira ser ""superior madrileño""si Ayuso se presenta a las nacionales en vez de Feijoo en Galicia no saca ni el 20% de los votos,Madrid y Galicia están muy lejos
PAUS|@lukaslukas #465 Cerrar @ Ciudadanno # 433 tenéis miedo de volver a perder, verdad? En realidad ganó el PP aunque curiosamente con los resultados que pronosticó el CIS. El único que no pronosticaba una mayoría mucha más holgada de Feijoo. Para mí no cabe duda que se alteró el voto por correo y que fue por ese motivo por lo que se hicieron generales en Julio. Fecha absurda donde las haya. Pero con mogollón de voto por Correo de por medio.
El_Tio_Calambres|Cómo se ha podido llegar a esto en España? Es necesaria una renovación completa de la política española y hay que hacerlo sin la izquierda, es el veneno
skovde1|@ADELE_ #442 Cerrar @ skovde1 # 412 Claro, que me ignoren como haces tú, no? Cuando digo que los de Vox son descerebrados por algo lo digo. Así les va. Que sí señora que sí, descanse un rato. Debería avergonzarle defender a este cartel. Por muy de izquierda que sea usted, no tiene nada de izquierda lo que están haciendo o piensa usted que sí?? esto es política de izquierdas?? y no venga con que el PP más.
zorin|Una reflexión. Ustedes leen la prensa española, hoy está al alcance de todo el mundo, prueben a leer la europea y comparen. Por cierto esta noticia no la verán en la prensa española. La Comisión Europea inicia procedimiento disciplinario contra Austria por déficit presupuestario
Voxamnistiayreferendumpa2anos|Lo peor de todo esto es que la verdadera maldad de Sánchez está por llegar
MDEinSPAIN|No entiendo cómo los medios dan cobertura a esta esbirro de Sánchez q sabemos q sólo va a ir a contar trolas. Que la lleven ante la justicia y se investiguen sus fechorías y también q se lleve a Sánchez ante la justicia y se investiguen sus fechorías. Esto q está pasando con el sanchismo es una denigración nauseabunda de la política y la democracia. Este delincuente de Sánchez tiene q irse ya y dejar de hacer daño a nuestro país, y por supuesto, hay q llevarle a los tribunales pq cuando ha montado este esperpento es pq seguramente quiere ocultar muchas cosas y mucho dinero.
Voxamnistiayreferendumpa2anos|Puffff ....voy a hacer palomitas ....por lo de Aldama y Leire....!!!
lukaslukas|@Ciudadanno #433 Cerrar Todos los votos por correo, por primera vez, fueron enviados a la "sala de la democracia" en Correos-Vallecas, donde pasaron entre 3 y 30 días en unas cajas no supervisadas por nadie pero bajo control del presidente de Correos y ex-jefe de gabinete de Sánchez, que fue el que introdujo ese paso en el proceso. Todo el voto por correo de la comunidad de Madrid ¿1 millón de votos?, en una sala custodiada por socialistas durante un mes... ahí lo dejo. tenéis miedo de volver a perder, verdad?
LuisRos|En paralelo Prisa despide a Pepa Bueno, Compromis parece se va de Sumar, Page dice que Sanchez no contamine las elecciones locales,... Esto se descompone muy rapidamente. Y Sanchez solo espera que el oasis del verano traiga algo de paz, pero no: cada dia es peor que el anterior, y el hedor del Sanchismo es ya insoportable
retama18|dejan entrar aquí montones de comentarios de un mismo nikc, la mayoría sin tener que ver con lo que se está tratando,. Tratan de cargarse este foro . Yo no discuto con semejantes ridículos y groseros estafermos.
uno_que_pasaba|@ADELE_ #413 Cerrar @ Sivispotes # 403 Ya, también la labor de El Mundo es informar. Pero cada vez que baja el paro, esconde la noticia. Y sus lectores borreguitos no se enteran. tiene que informar, no difundir mentiras.
AmadoGranell|@uno_que_pasaba #260 Cerrar @ AmadoGranell # 212 ¿Sois tan mermaos que se os tiene que volver a explicar, en serio? Durante la pandemia los dos estados de alarma fueron declarados anticonstitucionales. Si hubiera estado Conde Pumpido habría dicho que todo ok, José Luis (los futboleros entenderán la referencia) ¿En qué país serio declaran inconstitucional no una cosa, dos y no hay consecuencias políticas? Pues los palmeros zurdos tragáis. Ya dió unos indultos a unos políticos que no sólo no pidieron perdón, dijeron que a la que pudiesen lo volverían a hacer, también indultaron parcialmente a la secuestradora de sus hijos, Juana Rivas, a la que Irene Montero llamó "madre protectora" pero eso es otra guerra. Luego en campaña no iba a haber amnistía porque no cabía en la constitución pero si quieres los 7 votos de Junts tiene que haber amnistía, se aprobó ésa ley que no se iba a aprobar. Vale que a tí te meen y te digan que está lloviendo pero no intentes convencerme a mí de que éso es lluvia que no lo es. tú sí que estás mermado; ¿qué tiene que tu totum revolutum con quién gana las elecciones en una democracia parlamentaria?
Chipironet|Otra vez la trompeta sanchista Adele por aquí? Es como los loritos barranqueros. Cuánto cobras de Ferraz cada vez que sueltas una bobada?
ADELE_|@El_futuro_ya_paso #429 Cerrar @ AdPS # 384 Disculpe a @ AdPS no toma la medicación y ha perdido mucho. No tiene buen pronóstico, la familia ya ha sido avisada para que se preparen para lo peor y ya han comprado el champán. Eh, parece que ha habido un error al cortar y pegar, El Futuro, vuelva a leer su comentario. El Futuro se nos va, señores, se apaga.
Utopilitologo|La trama del libro de Leire: "La Ppolicia patriótica y las cloacas de Génova" aportara pruebas de la "caceria", bulo a bulo, a Pablo Iglesias y a los dirigentes independentistas. La misma caceria actual que se está perpetrado a la familia del presidenta
ADELE_|@Fakejo #426 Cerrar Vosotros seguís con la matraca ...mientras el número 2 de Interior del PP está en prisión..jajajajaja..brutal A estos les da igual ocho que ochenta. No ves que en Valencia ahogaron a 228 personas y siguen aplaudiendo al PP? No hay nada que hacer.
JuanFeIipe|Así que Pedro Sánchez que escondió una urna detrás de unas cortinas es el mismo que puso a la fontanera de Leire Díez a controlar el voto por Correo. No se por qué desconfiais, parece todo muy normal. Yo, como votonto socialista confío ciegamente en el y gracias a él, he entrado en la O.N.C.E.
