"";"post";"label"
"190227";". Puigdemont no volverá a Cataluña sin ""garantías"" de que se permitirá un Govern independentista? Sueñas puig, nada mas pisar Spain creo iras para Parla de estremera 😂😂 . . . . . . . .";0
"190228";"La gente que escribe como los indios me mata. 😑";0
"190229";"Desde cuándo eres tan negra? JAJAJAJA";0
"190230";"JACKIE Y HYDE MERECIAN ESTAR JUNTOS LA PUTA MADRE QUIERO ROMPER TODO";0
"190231";"desnudas provocais al igual que un hombre, simplemente porque es un instinto humano.";1
"190232";"""España devuelve a Marruecos a los 116 inmigrantes que saltaron valla de Ceuta"" Por una vez (y sin que sirva de precedente) aplaudo la decisión de Pedro Sánchez. No queremos negros delincuentes en nuestro país. Venga ¡A vuestra putta casa!";1
"190233";"La victoria independentista copa las portadas de la prensa europea via";0
"190234";"¿Porque se dice que la cerveza tiene hormonas femeninas? Porque cuando la bebes conduces mal, dices tonterias y nadie te hace caso.";1
"190235";"JAJAJAJAJAJAJAJA ya sé, pero tú eres una perra, yo soy bien buena y Sofía se aprovecha de mi nobleza";1
"190236";"que te jodan subnormal. Follate a tu madre";1
"190237";"Venezolanos residentes en Canarias podrán votar en Plebiscito contra dictador Maduro est 16J Resto mundo consulta -&gt;";0
"190238";"Estamos locos? Yo entiendo que un gay pueda sentir vergüenza al que sepan que es gay, y más como aún es la sociedad, de verdad lo que decís para defender lo indefendible";0
"190239";"Amigo: Es que tú dejas huella Yo: Que dices, si solo soy un subnormal Amigo: Ya.";0
"190240";"cállate perra... te sigo dónde quiera....";1
"190241";"callate si sos re zorra";1
"190242";"género neutro. A cada cosa que dices mas ignorante me pareces, curioso que seas tu quien me tacha a mi de ello.";0
"190243";"Joder!!! Muere la socialista Carme Chacón";0
"190244";"Tú cállate pinché puta y ve a darle de tragar a tu asquerosa bendición, ramera de mierda.";1
"190245";"Jodeeer, sabía que me sonaba a alguien pero no a quién. ¡Has dado en el clavo!";0
"190246";"Ojalá no fuera así, pero tristemente lo es. Normalmente y gracias a Dios en el 90% de los casos son mujeres normales.+";0
"190247";"Estamos concentrados en la plaza del Castillo con contra el terrorismo machista y hoy contra la agresión homófoba de este finde";0
"190248";"Callate vos sos capaz de venderte zorra.... 😂";1
"190249";"No se puede jugar con sudacas niño, tienen el wifi enchufado a la bombilla";1
"190250";"Las personas-meme también merecen derechos, son un género aparte.";0
"190251";"12 veces en media hora? Pero esta chica es la puta ama!!!! LOL";0
"190252";"¿Es realmente tuyo el tweet de la imagen? Por lo que veo es de 2014 y no he podido comprobarlo. Habla…";0
"190253";"LO MAS SATURADO ES VER MI POLLA EN TU CULO AGUJEREADO😂😂😂";0
"190254";"12 años jugando a la Play le enseñaron bastante. Que hijo de remil puta!!!!!!";0
"190255";"Iba a decir algo pero hay tanta gente q no sabe q son las bromas y pensaran q soy lesbiana ahre si XDDDDDDDDD";0
"190256";"Según la filosofía heroInda, si a Franco, Mola, Sanjurjo y demás heces fascistas les hubiera ido mal, habrían sido presos políticos...";0
"190257";"+sus ojos al abrirlos son de color jade como su padre,en ese instante crea una llama de color rosa y rojo intenso*esto pasa..";0
"190258";"Este 2018 les he tuiteado como la puta verga que soy, ya se merecían mi regreso.";0
"190259";"Ay pero ojo el chabon se coge a una casada y es un crack y ella una zorra, no?? Imbécil";0
"190260";"No sé si me da más asco el robo o ver a los españoles escribir en catalán 🤔";1
"190261";"y están deseosos de ayudar a los moromierdas que llegan en oleadas a violar todas las mujeres y niños que puedan. Y oye, si se legaliza mejor, ¿eh ? EL PROBLEMA ES QUE ESTO NUNCA LES PASA A SUS HIJOS Y NIETOS. LASTIMA!";1
"190262";"A quien le guste el humor negro, que me siga por IG. Hago un grupo y paso mierda buena 💪🏼 IG: Gioskate69";0
"190263";"Las reglas del debate en las redes son diferentes de las reglas del debate propiamente político y de las del debate académico. Sistemas sociales diferentes con diferentes códigos, que diría Niklas Luhmann.";0
"190264";"Sirius xd. Y Fred xd. Y Hedwig xd. Y Dumbledore antes de descubrir lo mamón que era, después ya no tanto.";0
"190265";"SIIIII GRACIAS ESPAÑA PORFIN UNA PUTA ALEGRIAA GRACIAS SE LO PUTO MERECÍA";0
"190266";"Odio las palomitas y su malsana afición de perderse por el sofá";0
"190267";"Jajajajaja le tengo que enseñar eso a mi perra😂";0
"190268";"Tengo que analizar una mierda de Canto gregoriano y me estoy volviendo loca";0
"190269";"Mas riqueza cultural, un inmigrante subsahariano le da una paliza a una chica en Ciudad Real por no dejarse besar. Como siempre las Feministas calladas como Frutas!!";1
"190270";"¿Esto podría explicar el brutismo caribeño y el subsahariano? ¿Habrá correlación? Extreme heat linked with reduced cognitive performance among young adults in non-air-conditioned buildings:";1
"190271";"EEUU: La asesora estrella de Trump se inventa una masacre para defender el veto del presidente a los refugiados";0
