post|label
@Cento #74 Cerrar @ Fegoms # 65 Allí hay secesionistas, federalistas, con federalistas, y ¿los españoles tenemos que aguantar a todas vuestras alternativas? ¿Por qué nos os vais a tomar...?, nos ponemos fronteras y ni un vasco crI min4l en España? Pero los vascos siguen vendiéndonos sus productos. Vascos no vengáis a España y no participéis en nada nuestro. Ellos venden sus productos, el culpable es quien se los compra.|1
A la cárcel, por sectario.|1
Me parece muy bien que pague las multa y cumpla la pena impuesta por el juez. Lo que no me gusta es la coletilla que los medios progres ponen siempre a esta noticia. El novio de Ayuso. Oigan. Hablen del señor González Amador o como se llame. Pero no manipulen. Ayer en el Plural, lo mismo. En lugar de referirse a un guardia civil que ahora trabaja en la comunidad de Madrid por su nombre, no. La noticia se referían a él como el Guardia Civil de Ayuso. Que pandilla de manipuladores y de estómagos agradecidos. Y que envidia le tienen a la Sra. Ayuso. Esto es acoso. Si se tratase de una rogelia habría que oírlos.|0
@Segistobre #159 Cerrar Ya lo dijo Aznar: el que pueda hacer que haga. a vosotros os gustaría más que fuéramos dóciles , callados , ciegos y mancos . Dejar hacer y dejar pasar ¿ a la mafia .|0
@Indomito #255 Cerrar @ ADELE_ # 197 estás en bucle con Mazón , cambia a la cara B del single . Ya, qué pesada soy con Mazón, verdad? Si los familiares de sus 228 víctimas ya le han perdonado.|0
Fachapobres diciendo en la hojilla parroquial del PP de Madrid que otros periódicos son del PSOE. El chiste se cuenta solo.|0
Si no llega a ser el novio de Ayuso la Botelllines ,el juez lo acusaria de lo mismo|0
Si los periodistas de El Mundo son tan listos por qué no investigan dónde estaba Mazón. Ah, no, se me olvidada que tienen prohibido investigar al PP!|0
@ADELE_ #52 Cerrar @ Umte # 27 Desde luego. Por ejemplo en Valencia el verbo dimitir no existe, te puedes cargar a 228 personas y como quien oye llover. Si, en España puedes provocar la muerte de 140.000 españoles con la comisión de expertos QUE NUNCA EXISTIÓ de la pandemia y sus manifestaciones  EL MACHISMO MATA MÁS QUE EL CORONAVIRUS y no pasa nada, cuando deberían estar todos los que lo perpetraron en la cárcel por asesinos como llamáis a la Ayuso y trincones como Ábalos, Koldo, la Bego , la Leire y la santa compaña .Venga ADELE dedícate al cante...|0
@ADELE_ #93 Cerrar Mazón anuncia que también asistirá a la manifestación. Eso sí, doce horas más tarde, él va a su ritmo. Otra vez por aquí. ¿A cuanto te pagan el comentario en Ferraz?|0
@ADELE_ #265 Cerrar @ N0RL # 252 Uf, menos mal, por fin alguien contesta a Pasti. No sabe usted el mes que lleva, pidiendo casito de rodillas y toooodo el foro pasando de su culete. Es usted muy buena persona. hoy le damos una pildorita para que no encharque la cuna, pero una y no mas santo tomas !|0
España se hunde.|0
cabe recordar que el que ahora es novio de Ayuso cuando cometió el delito no era su pareja. Lo digo por si a alguno se le ocurre compararla con la esposa del presidente del Gobierno, Begoña Gómez.|0
@Sociolisto #194 Cerrar Ya no se sabe que es verdad ni que es mentira con la UCO, todos los dias sale un nuevo informe, con ataques directos al PSOE, nada que toque al PP ni Vox, esta identidad esta perdiendo toda credibilidad, si todo lo que ha sacado fuera cierto, el 90% de los militantes del PSOE estarian ya en prision, pero no es el caso, asi que tengo mis dudas de la veracidad y procedencia de la informacion caotica y errada de la UCO, siento decirles que les estan tomando el pelo, Sanchez esta sereno, seguro de si mismo, confiado y trabajando por el futuro de España, le resbala lo que diga la UCO, por algo sera, no creen ustedes? Sanchez esta sereno, seguro de si mismo, confiado y trabajando por el futuro de España, le resbala lo que diga la UCO, por algo sera, no creen ustedes? No sé de que anuncio ha copiado el texto, pero yo le voy a dar una descripción que se ajusta mucho más a la realidad. Sánchez está desquiciado porque su castillo de naipes se desmorona y sabe que si las cosas siguen así las probabilidades de entrar en prisión por sus numerosos delitos son muy altas, así que debe de andar como un loco mandando Falcones a República Dominicana. A ver si alguien del foro puede decirnos cuántos vuelos ha hecho el Falcón a República Dominicana en los últimos dos meses?|0
