Pep3z|Así que han mentido¿ que novedad en la prensa de izquierdas , y encima hablan de bulos.
BELASTEGI|@pagafiestas #189 Cerrar @ BELASTEGI # 146 FALSO. FALSO, asi sin más. Que lacónico, y ¿En que se basa para afirmar que la noticia es falsa?
Havane|@SJLI #373 Cerrar El País defendiendo a su amo. Menuda novedad. El grupo PRISA es un departamento del PSOE. Hay que tener eso en cuenta siempre que se lea o escuche algo de ese grupo mediático. los periodistas tienen los mensages en watsapp, me parece que con los datos es suficiente saber cuándo conocieron la noticia.
Havane|@hondonero #390 Cerrar Alguien se cree lo que han declarado estos " periodistas"? están los watsapp. Alguien se cree que Alberto Quiron no sabía nada de la confesión à Hacienda que hizo su abogado?Hay escritos que lo desmienten.
hondonero|Alguien se cree lo que han declarado estos " periodistas"?
uno_que_pasaba|@_Placebo72 #387 Cerrar @ WILLY_NILLY # 386 Definir algo como raro ,sin pruebas, no es indicativo de nada menos para una persona como usted que , por lo visto, si las tiene. El PP no cayó por los papeles de Bárcenas, pobre hombre, que por ello nadie pagó, cayó por la Gürtel donde se financió de forma ilegal el partido, campañas electorales y sobornos a todo Dios. No está usted muy bien informado. ¿Y a ti quien te ha dicho que no hay pruebas?
WILLY_NILLY|@_Placebo72 #387 Cerrar @ WILLY_NILLY # 386 Definir algo como raro ,sin pruebas, no es indicativo de nada menos para una persona como usted que , por lo visto, si las tiene. El PP no cayó por los papeles de Bárcenas, pobre hombre, que por ello nadie pagó, cayó por la Gürtel donde se financió de forma ilegal el partido, campañas electorales y sobornos a todo Dios. No está usted muy bien informado. Bueno, la definición de raro es muy personal de cada uno, está clarísimo, y no tiene por qué ser una prueba...La verdadera prueba está, sibilinamente, destruida por el Fiscal General...Y claro que sí, que el PP cayó por la Gurtel y porque era natural que cayera... Como debería ser ahora natural que cayera el gobierno de Sánchez, por tantísimos escándalos, pero claro, mientras estén los socios cómplices con su silencio manteniendolo, no hay nada que hacer...
_Placebo72|@WILLY_NILLY #386 Cerrar @ _Placebo72 # 358 Definir como "raro" una clara manipulación de pruebas, ya le está delatando...Y por supuesto, que la destrucción de ordenadores debió llevarse mucho ANTES al PP...Tardaron, pero al final , CAYERON...Yo sólo espero que ahora, estará usted de acuerdo, que toda ésta montaña de sospechas razonables sobre el PSOE, tengan el mismo efecto que con el PP...Es lo que esperaría cualquier observador NEUTRAL , después de haber visto lo ocurrido con el PP...Pero en su caso, no se espera, al ser parte interesada.... Definir algo como raro ,sin pruebas, no es indicativo de nada menos para una persona como usted que , por lo visto, si las tiene. El PP no cayó por los papeles de Bárcenas, pobre hombre, que por ello nadie pagó, cayó por la Gürtel donde se financió de forma ilegal el partido, campañas electorales y sobornos a todo Dios. No está usted muy bien informado.
WILLY_NILLY|@_Placebo72 #358 Cerrar @ WILLY_NILLY # 356 Raro es pero, de momento, eso no demuestra nada, Sr WILLY_NILLY. Si fuera por eso mismo, se hubieran llevado por delante al PP por la destrucción a martillazos de los ordenadores de Bárcenas, no cree? Definir como "raro" una clara manipulación de pruebas, ya le está delatando...Y por supuesto, que la destrucción de ordenadores debió llevarse mucho ANTES al PP...Tardaron, pero al final , CAYERON...Yo sólo espero que ahora, estará usted de acuerdo, que toda ésta montaña de sospechas razonables sobre el PSOE, tengan el mismo efecto que con el PP...Es lo que esperaría cualquier observador NEUTRAL , después de haber visto lo ocurrido con el PP...Pero en su caso, no se espera, al ser parte interesada....
uno_que_pasaba|@Casilda #379 Cerrar @ Pedro_Balboa # 323 no invente. veremos si es invento o no...
uno_que_pasaba|@BELASTEGI #376 Cerrar @ uno_que_pasaba # 363 No ha terminado el procedimiento y sabe que fueron filtrados por el FG ¿Ha tenido acceso al mismo? ¿Quién le ha filtrado la resolución? yo no sé ni dejo de saber pero igual que vosotros estáis siempre con los martillazos del disco duro de Bárcenas nosotros nos preguntamos por qué borrar y hasta cambiar de móvil si no escondía nada. Quien corre algo teme.
