SerHumano|Van del lado de la MAFIA pues.
Discombobulated|Las mociones de censura no están hechas para ganar sí o sí. Inténtelo Sr. Feijóo.
Discombobulated|Si la situación la considera realmente tan grave, tan sobrecogedora, el PP debería presentar una moción de censura y dejarse de palabrería grandilocuente y aspavientos. ¡Venga!
Utopilitologo|Pactos de la Moncloa. Estudia. @river #71 Cerrar @ Utopilitologo # 21 El pacto entre partidos con ideología muy contraria, en las antípodas, solo se ha dado en España con Sánchez ¿Sabes otro caso? Pues ponlo.
franciss|Ya escondiste las siglas del PP en Galicia... no se dan cuenta que Feijóo es al PP lo que Sánchez al PSOE.
Sidi|Yo con este individuo no voy ni a heredar. Menos aun a una supuesta manifestación contra sus socios, tanto en España como en Europa.
Sostenella|Yo lo que pido a todos los partidos que estén en contra de Sánchez, que no nos convoquen a una manifestación en Madrid y luego se olviden. Yo soy de fuera y he estado en las dos grandes que se hicieron, y luego, nada. Lo que pido es que nos convoquen a los españoles a una movilización total, permanente y en toda España, hasta que se convoquen elecciones. Sin violencia, sin agresiones, sin quemar nada, que eso es cosa de zurdos.
Molinos1924|Jajaja, los fachapobres van a una manifestación porque mediante el voto no logran un gobierno de PP. No se dan cuenta de que esta ley electoral, que beneficia los regionalismos, sólo puede cambiarse si PP-PSOE quieren.
Babia|Ni ideas.
Creonte|Núñez Feijóo nunca será presidente. Parte del PSOE ya se está moviendo para desembarazarse de Pedro Sánchez (muchas de las filtraciones son 'fuego amigo') y colocar a García-Page. Si lo logta, sacarán más escaños que el PP y Vox será segunda fuerza política.
Vidaysol|@55manu #168 Cerrar Se equivoca VOX no acudiendo a esa manifestacion, o se une.la derecha, o a este no lo echamos ni despellejado. Entiendo que VOX no se puede hacer una foto con Mazon y Rajoy
Vidaysol|Rajoy fue un pesimo politico pues no supo ver que convocando elecciones posiblemente Sanchez no estaria hoy siendo presidente, Mazon es un pesimo politico pues antepuso su agenda a su responsabilida en unos momentos de maxima gravedad como se demostro con tantas personas fallecidas
Vidaysol|Es un error que este Mazon y Rajoy, el PP deberia esconderlos ya que por diferentes motivos no gustan a la mayoria de la gente que acudira
zertiko|Lo dije hace unos días y lo repito hoy, la fecha es mala (más de 30 grados), y la convocatoria es inoportuna (no es el momento adecuado), no irán más de 250 mil personas en una ciudad como Madrid con más de 5 millones de habitantes.
zertiko|La fractura en la derecha es inevitable, Santiago Abascal quiere seguir aumentando su patrimonio sin trabajar un sólo día en la empresa privada a costa de lo que sea.
