Andalu_ilustrao|En mi opinión, una de las mayores satisfacciones de la vida es ver que por mucho que imaginemos y elucubremos, la realidad siempre supera a la ficción.
tienesrazon|Casi el 80% de los españoles creían a Aldama frente a Sánchez cuando salió de la cárcel, bueno, los primeros los fiscales y jueces, si no no hubiera salido de la cárcel. Ahora seguro que son el 90%. Hasta Page ha pedido elecciones, como cualquier persona honesta. Los foreros rojos no porque no son honestos y además cobran de Ferraz la mayoría.
CHININN|@barcetabis #84 Cerrar @ burrinchus # 76 Pues igual que muchos votarán de por vida a Ayuso , o Puigdemont o a Mazón . Somos así . Al único que no votarán , pero si lo botarán es a Feijóo. Tenemos la memoria justa para pasar el día. Y no nos importa si lo nuestro es bueno o malo para el conjunto. Lo importante es que sea malo para el oponente. Solamente voy a juzgarle a Ud.por haber cometido una falta de ortografia, en la segunda palabra del voto, por que si lo juzgo por el significado tendria que ponerle un calificativo que me lo reservo tendria que ser de ignorante.
Goligo|@Objetivo_pero_no_imparcial #55 Cerrar Aldama miente y sobreactúa. borrego detectado
Glutamato2025|En la Moncloa y en la PSOE han quitado todas las llaves de las puertas, ahora se abren cuando los corruptos del sanchismo-begoñismo dicen abrete sésamo
ADELE_|@tienesrazon #97 Cerrar @ Trango2 # 85 Creo que va tener difícil pegar un pucherazo, que lo intentará seguro que sí, pero necesitaría demasiados cómplices, demasiados. No, yo creo que no podrá, o en éso confío, no sé. El alegre golpista de Teruel. A ver si el cuerpo aguanta hasta 2027, aunque la cosa pinta mal.
yugurtungue|Ayer en el programa de Risto en TV, Pérez Dolset afirmó que lleva 6 años trabajando con Leire Díez. Es decir, que mientras era alto cargo de empresas públicas esta señora ya estaba trabajando de fontanera.
ADELE_|@tienesrazon #93 Cerrar Hasta Page pide elecciones ya. Somos un circo mundial por culpa de Sánchez. Mira tío, que vas a ir a la cárcel sí o sí, y por muchos temas, así que deja de hacer tanto daño al país, vete ya de una vez y convoca elecciones. @ThePipe #91 Cerrar Dimision y elecciones. Es lo minimo que se le pide a un estado democratico ante un escandalo de estas magnitudes. Para las elecciones mejor esperar un poco. Los cadáveres de Mazón todavía están calientes, deje que se enfríen un poco, que la gente olvide.
muellegonzalez|Cómo es posible que se ponga en libertad a un personaje como Aldama inmerso en el.proceso de Hidrocarburos, con un pastizal en el extranjero.....y sin aportar ni una sola prueba desde que salio...... GOLPE DE ESTADO Con TOGAS.....
Akatax|Desconocía esta actuación de Aldama y me ha alegrado profundamente la mañana. Aunque falta saber: donde fue la rueda de prensa, quien le dejó acceder a ella. Por curiosidad
Ignathie|@barcetabis #84 Cerrar @ burrinchus # 76 Pues igual que muchos votarán de por vida a Ayuso , o Puigdemont o a Mazón . Somos así . Al único que no votarán , pero si lo botarán es a Feijóo. Tenemos la memoria justa para pasar el día. Y no nos importa si lo nuestro es bueno o malo para el conjunto. Lo importante es que sea malo para el oponente. Yo tengo muy claro que antes que votar a Frijol me hago el carnet de la PSOE y me tatúo la cara del número 1 en la espalda. Frijol jamás.
JMdiazD|@Payasos #31 Cerrar ¿Y este delicuente que hacía hace unas semanas en de vacaciones en Ibiza gastando una media de 3000 euros/día.? ¿buscando el indulto mediante un cambio de gobierno? si tiene dinero,a ti que te importa donde lo gaste,cuando tenga que rendir cuentas con la Justicia,lo hará¿No veo que te quejes cuando el galgo de Paiporta se va a la Mareta con toda la familia ,pagando los españoles¿.
ADELE_|@Trango2 #85 Cerrar @ DORSAL14 # 79 no creo que esto lo arregle unas elecciones. Ya hay declaraciones en un juzgado de gente que supuestamente voto por correo y no lo hizo, otras elecciones otro pucherazo y más ahora que controla indra Hay que saber perder.
ThePipe|Y mientras El panfleto EL Pais, antes un diario serio, ahora un triste nodo, nos dice que la conferencia de presidentes ha sido saboteada por el PP por culpa de una agenda inabarcable. . . Imagino que la agenda sobre todos los escandalos reales e ineficiencias que sanchez ha regalado a los espanoles mientras intentaba cubrirse las espaldas . . . . . . la dignidad y el periodismo zurdo ya se encuentran en puntos de no retorno
ADELE_|@Fraterno #86 Cerrar Comparado con España, Corea del Norte es un país serio y ejemplo de democracia. Pues vete a Corea del Norte, qué haces aquí?
ADELE_|"@DonJoseGrillo #78 Cerrar Esto da para una serie de cinco temporadas, jajajaja. Sobre el PP ya hicieron una serie. Se llama ""Fariña""."
Big_Bang_falso_origen|Sr. Aldama, tiene todo mi apoyo, ya está bien de romper el estado, sin presupuestos y con mentiras a diario
ADELE_|@DORSAL14 #79 Cerrar Elecciones!! Ya.. Para qué, para que Vox vuelva a perder 19 escaños? Fue humillante...
JMdiazD|@JohnGallagher #53 Cerrar Señores del ejército. Es ahora o nunca. Es el momento. Ustedes tienen armamento, munición, y disciplina militar. Pongan orden. Hagan limpieza. No miren atrás. es inaudito que a estas alturas de la democracia española,alguien ,siquiera insinúe un levantamiento militar¿Otra vez ,vuelta al ostracismo?¿A la penuria ,y a la guerra fratricida entre hermanos?¿Sánchez,no es ni de lejos santo de mi devoción,y deseo que se vaya cuanto antes ,mejor,y si es para acabar en una cárcel,mejor¿Pero JAMÁS,por un golpe de Estado¿
sctjaime|A ver que tal lleva Pedrito pasar a la historia como el payaso mayor del circo y sobre todo cutre.. muy cutre todo. No saben ni robar.
tienesrazon|@barcetabis #84 Cerrar @ burrinchus # 76 Pues igual que muchos votarán de por vida a Ayuso , o Puigdemont o a Mazón . Somos así . Al único que no votarán , pero si lo botarán es a Feijóo. Tenemos la memoria justa para pasar el día. Y no nos importa si lo nuestro es bueno o malo para el conjunto. Lo importante es que sea malo para el oponente. Hombre, si no hubiera tantos sinvergüenzas como tú defendiendo la corrupción de Sánchez otra cosa sería, un país más decente tendríamos.
Umte|La reserva comunista y bananera de Europa y co el beneplácito de sus votantes. Ahhh cuidado con el voto por correo en las próximas.
chusita444|vamos aldama !!!!!estamos esperando q tires de la manta y saques todo el fango de este gobierno
tienesrazon|Que peliculón te va a salir, Santiago Segura, con Sánchez y sus fontaneros, menudo filón. Hasta Silvia Intxaurrondo y su bomba lapa ocuparán un lugar preferente en la película. Buah, es que hay tema para 10 películas mínimo, la primera se podría titular Los cuatro del Peugeot.
tienesrazon|Ya hubo encuestas después de salir de la cárcel en las que casi el 80% de los españoles creían a Aldama antes que a Sánchez, ahora creo que serían el 90%. Todo lo que ha dicho Aldama son verdades como templos, Leire es una mentirosa, una sinvergüenza y ha amenazado de muerte a Aldama y a Balas. Pura Rosa Nostra.
PostMarxistaequivocado|Que dimita el felón
