sarganmanta|Para cuando un estudio fiable y serio de lo que nos cuesta a los que pagamos impuestos por existir el mantener a los que no pagan impuestos ni los han pagado? Igual si no regalamos dinero sin trabajar tendríamos para gasto militar y cumplir con nuestros socios occidentales no? En el cole de mi hija cada vez hay mas recién llegados que no contribuyen en nada y sin embargo tienen educación, sanidad, servicios sociales, ayuda al alquiler, bono social, e IMV.....hasta cuando?
pikxo|@letoatr #1 Cerrar Patético lo de Sánchez Sólo centrándonos en esta noticia, por qué es patético?
Hatefachis|Los mayores parásitos de la historia, pidiendo más dinero,que lo paguen losfascistillas,estarán encantados de hacerlo, por patriotismo,animaos
Der_Waldgang|Vengaaa, Sánchez, que una tocha como la de Zelensky no se mantiene sola!
grease|@Danigar #99 Cerrar Nada, pues en vez de gastar en vivienda para que nuestros jóvenes tengan donde vivir, lo gastamos en defensa, para mandar a nuestros jóvenes al frente (así ya no tienen que buscar vivienda, jeje, lo ves? si es que todo tiene solución!). La vivienda no es un problema de jóvenes, es un problema general, no importa la edad. Y no es el único. Y la solución no es dar mas paguitas porque yo soy autónoma, me crujen a impuestos, vivo de alquiler y estoy hasta el moño de dar paguitas, que me las den a mi, que trabajo mucho y no me sobra el dinero. Y por otra parte, si un día algún loco (y el mundo está lleno, invade España, ya no vas a tener ningún problema).
grease|En España no hay dinero para invertir en defensa (y si algún día alguien se mete hasta la cocina, no sé que es lo que muchos proponen ha. Pero para mantener a todos los menores que entran de forma ilegal cada día si hay dinero, para que los presos elijan menú en la cárcel si hay dinero, para los políticos corruptos y los Koldos de turno si hay dinero, para los Broncanos de turno si hay dinero, para que los políticos se suban el sueldo si hay dinero, para que los consejeros de RTVE se suban el sueldo no sé cuantas veces si hay dinero, etc, etc, etc. Qué cara más dura.
Arovi|Si se adelgazaran un tanto los aparatos central y regionales de gobierno, se suprimen ministerios y otros organismos innecesarios con los cientos de cargos-parásitos que conllevan, seguramete habría dinero suficiente son tocar el estado de bienestar.
Bic_Rojo_Bic_Azul|@ISAAC007 #103 Cerrar LO DE "GRAN PAÍS" ES REALMENTE ESPERPÉNTICO JAJAJAJA . . ESPAÑA GRAN PAIS JAJAJAJA ME MEO . Debería que ser "país grande" en vez de "gran pais".... Si en la lista de los mayores economías europeos Holanda viene detrás de España con ni siquiera 10% de terreno sabes que España desde luego no es un "gran pais"
toymuharta|@Rebeldeconcaus a63 #29 Cerrar Es temerario, suponiendo que Marruecos decida mañana reconquistar Ceuta y Melilla, quien vendrá en nuestra ayuda? Mira, Ceuta y Melilla sólo son un coladero que no aporta más que problemas. Yo no me preocuparía por eso.
ievrm|@ISAAC007 #103 Cerrar LO DE "GRAN PAÍS" ES REALMENTE ESPERPÉNTICO JAJAJAJA . . ESPAÑA GRAN PAIS JAJAJAJA ME MEO . Ahora mismo el mejor de la unión europea, mira los números
El_futuro_ya_paso|Pero para esposas y hermanísimos si hay dinero de sobra.
JFLK|@Danigar #99 Cerrar Nada, pues en vez de gastar en vivienda para que nuestros jóvenes tengan donde vivir, lo gastamos en defensa, para mandar a nuestros jóvenes al frente (así ya no tienen que buscar vivienda, jeje, lo ves? si es que todo tiene solución!). Más bien para contentar a los amiguetes de las estafas, otra estafa como la inflación, deuda, energía nuclear...Mejor seguir invirtiendo en más subidas del smi, impuestos a los más ricos, ayudas a los más vulnerables, pensiones, becas...Desde que Sumar y Yolanda Díaz aplican sus políticas socialdemócratas, el PIB crece sin parar, nos llevan camino del pleno empleo, salarios y pensiones dignos y déficit público 0. Que es lo que más necesitamos todos y más molesta a tanto indignado patriota salvapatrias amiguetes de los más corruptos. Si quieren participar de otra estafa como la inflación y deuda, que la paguen vía impuestos los que se forran con esas estafas, que son siempre los mismos. Europa necesitamos superar la OTAN de una vez y tener un ejército europeo propio con sus alianzas estratégicas de siempre. Pagado por esos megabeneficios multimilmillonarios de los amiguetes de Feijoo, Ayuso, Abascal, Rutte, Orban, Salvini, Trump,...Los recortes para Los de las estafas.
ISAAC007|LO DE "GRAN PAÍS" ES REALMENTE ESPERPÉNTICO JAJAJAJA . . ESPAÑA GRAN PAIS JAJAJAJA ME MEO .
QuieroLibertadNoUnP_toAmo|@Minombreyapellido #10 Cerrar @ BM1234 # 6 A ver, que ya hemos sido invadidos por gente que no quiere integrarse, ni aprender nuestro idioma, y que están en edad militar... Ahí lo dejo 7.19 Y para mayor aberración estamos sufragando esta invasión encubierta.
Aureo|Se necesita el dinero para los de la boina y los de los siete votos.
JoseJuanMartinez|Como dice la " fontanera" : los socialistas vamos tener que salir y pedir asilo político en Taiwan.
Danigar|Nada, pues en vez de gastar en vivienda para que nuestros jóvenes tengan donde vivir, lo gastamos en defensa, para mandar a nuestros jóvenes al frente (así ya no tienen que buscar vivienda, jeje, lo ves? si es que todo tiene solución!).
Editora|Sánchez uber alles
FURILO|Como se van a gastar ese dinero en armas? Y las titis, mariscadas y sustancias de la risa, como las compran?
jelinek|@OkupasOut #27 Cerrar Con un PIB de 1,8 billones $, el 5% serían 90,000 millones. Con eso da para crear fábricas de drones de todo tipo, cada vez más sofisticados con MATERIALES Y FABRICACIÓN PROPIOS para no depender del fuera y crear una legión de ingenieros y de expertos operadores de drones que en tiempos de paz serían utilísimos para la economía y la seguridad el país, mejorando la vigilancia del enorme espacio marítimo, la prevención y extinción de incendios, de plagas en cultivos, fumigación , socorro rápido en casos de emergencias y desastres naturales, transporte urbano, etc. También elaboración propia de misiles hipersónicos, que ya países como Corea o Turquía, Irám, dominan la tecnología. ese dinero es para comprar armas a EEUU que para eso fue la primera rajada de Trump.
jelinek|@Seseno #63 Cerrar No pasa nada si nos atacan o tenemos algún problema con alguien (los vecinos del sur probablemente), mientras nos corren a pedrazos hasta los Pirineos nosotros iremos cantando y repartiendo flores al enemigo; por algo somos mas pacifistas, ecologistas, y progresistas que nadie. Ya vendrán otros a defendernos (previo pago) mientras a nosotros nos faltarán piernas para salir corriendo. ¿qué pasa, que no tenemos fragatas y cazas, tanques e infantería? ¿A dónde va todo lo que pagamos? Este incremento presupuestario es para hacer negocios, para enriquecimiento de truhanes: lobbies, comisionistas, intermediarios...
jelinek|@YoOpinoAsi #8 Cerrar Que lo saquen de las pensiones. Los jóvenes no trabajan para mantener a todos estos, que encima tienen pisos que los alquilan a precios de oro, mientras los jovenes sin pisos y obligados a vivir afinados. que no lo saquen de ningún lado, que no tenemos por qué hacerle el juego a Trump. Y las pensiones se las merecen los pensionistas porque ellos ya cotizaron. Y pisos tendrá el jubilado que tenga, uno, tal vez dos o una casa en el pueblo... El problema del alquiler no es un jubilado que tiene dos pisos sino un grsn tenedor que tiene 20. Y la concentración de la gente en las capitales porque en pueblos y pequeñas ciudades hay vivienda asequible.
