"post"|"label"|"label_100k"|"label_600k"|"label_50k_best"
"1"|"SUCIO-LISTOS"|0|0|0|"1"
"2"|"@Augustus_max #4 Cerrar Alonso, no llegas ni a la suela de los zapatos de Hamilton! Viejo llorón, retírate ya de una vez! me parece que el que no le llega ni a la parte milimétrica inferior de la suela de los zapatos de Alonso eres precisamente tú. Don Nadie."|0|0|0|"1"
"3"|"Yo con los delincuentes, yo con Aldama y el novio de Ayuso."|0|1|1|"1"
"4"|"Tendrá algún ¿ tesoro escondido¿ porque fea es"|0|1|0|"1"
"5"|"Socialista , cuando vayáis a votar al guapo de Pedro , tenéis que pensar que en el paquete vienen incluidos especímenes como la de la foto , con pocas cualidades físicas , y menos morales ."|0|0|1|"1"
"6"|"@Juanfelipe #122 Cerrar @ EduCalleja # 102 Pero esa es tu opinión personal, muy respetable, pero no está probado lo que dices, eso tendrá que decirlo una sentencia. Y si se conocían, desde mayo de 2021, y los delitos de los que se le acusa son las declaraciones presentadas en julio de 2021 y de 2022 fue usted el celestino que los unió? En fin. Por mucho que lo intente, no son casos comparables."|0|1|0|"1"
"7"|"Los periodistas deberían negarse a ir a una rueda de prensa que no es tal por cuanto no admite preguntas. Para eso que envíe a los medios su declaración y punto."|0|1|0|"1"
"8"|"@ADELE_ #571 Cerrar @ No_mas_politicos # 544 Ah, usted también defraudó 350000 euros a Hacienda, como el novio de Ayuso? Pues yo no, la verdad. ¿Pero usted qué va a defraudar, si ni tiene oficio ni beneficio, si está 24​/7 metida en este foro? ¿O acaso es de las de la paguita? Si usted trabaja, pobre empresa a la que defrauda (está claro que no hace nada). Y si no trabaja, pobres familiares y amigos por soportarla a diario."|0|1|0|"1"
"9"|"@Community_Ferraz #374 Cerrar Hola, compañeros. Inadmisible. Una vez más, los jueces de ultraderecha están destrozando la democracia que hemos conseguido desde que nuestro amado presidente ganó las elecciones y decidió pactar con multitud de partidos demócratas españoles. No os creáis que lo hacen por algo tan grave como filtrar los datos personales de un particular. NO. No es un particular, es el novio de nuestra rival Ayuso, aunque todo ocurriera antes de serlo. Lo hacen porque no soportan que la Fiscalía dependa de Ferraz. Como soléis hacer cuando atacan a un miembro del partido, os pedimos que no penséis y desviéis la atención hablando de Ayuso, Mazón, Franco o lo que se os ocurra. Le hemos dado permiso al compañero Adelerdo para que insulte sin argumentos, como de costumbre. Dadle muchos positivos que su tratamiento depende de ello. en Ferraz no tenemos curro suficiente, y tenemos que responder a hechos evidentes con estupideces?"|0|1|0|"1"
"10"|"Personaje siniestro donde los haya, la tipa esta"|0|1|1|"1"
"11"|"@Fakejo #516 Cerrar @ Pepe_el_de_Antequera # 39 Ni una..no tiene ni una sola prueba..y así quedará demostrado pero el imputa sin pruebas porque persigue un fin político..espero que acabe retirado de la carrera judicial..esto es muy grave y atenta a las bases de nuestra democracia...ni un paso atrás.. a ver si te enteras, que el otro nos ha metido la mano en el bolsillo a todos confiado en ser la pareja de una presidenta autonómica. Que yo pago mis impuestos con mucho esfuerzo y NO ADMITO A DELINCUENTES AMPARADOS POR POLÍTICOS CORRUPTOS."|0|1|1|"1"
"12"|"Esto se hunde, que toque la orquesta"|0|1|1|"1"
"13"|"La que está de celebración es Dolores Delgado, de la que se ha librado."|0|0|0|"1"
"14"|"Irá a verle al talego la Presidenta corrupta?... Pero en plan particular"|0|0|1|"0"
"15"|"@Repartidor #567 Cerrar Cuando lees los posts de la izquierda sumisa y descerebrada, te das cuenta de que nunca saldrán ni de pobres ni de ignorantes. Es su problema no todos pensamos igual. Estos no son socialistas, ni gente de centro. Está gente son sinvergüenzas que han entrado en política para crear un entramado totalitario comunista, el nivel de latrocinio, amoralidad sin escrúpulos es tal, que dan arcadas."|1|1|1|"1"
"16"|"Menudo circo ajajaja.. está señora y sus jefes..se creen que todos nacidos ayer ..... A denigrado la profesión periodista... qué circo ..."|0|1|1|"1"
"17"|"@N0RL #4 Cerrar Este tío que el fin de pasado estuvo en Ibiza relajándose, ha robado a los españoles que se sepa de momento y según el juez que investiga el caso, 190 millones de euros. sí. Y pertence a la trama del PSOE Sánchez, Abalos, koldo y Cerdán. No lo olvides."|0|0|0|"1"
"18"|"@228dead #305 Cerrar @ Con_tres_000 # 186 oye y a ti no te sobra un 0 ? o es que quizás vives cerca de una central nuclear, como el pez de los simpson, eh ¿Quién es usted?, no tengo el gusto de conocerle. Si busca rollete LGTBI, le sugiero que acuda a una sauna, o al ministerio del interior, le recibirán con las nalgas abiertas. Que tenga un buen día."|0|1|1|"1"
"19"|"@karka #208 Cerrar Nada, nada . Otra eurocopa, mundial u olimpiada y entre las celebraciones se le revoca la posible condena. Efecto Griñan Ya sabes que a Grinan en los ERES, se le aplicó una teoría por los jueces de Sevilla, que por ejemplo no se le aolicó a Rajoy o a Esperanza Aguirre, esa de que cómo no íba a saber que otros (en otra Consejería que no era la suya) malversaban, aunque él no lo hiciera y no se llevara ni un euro. Teoría para uno y no para otros. Falta absoluta de pruebas, y ganó su recurso ante el TC."|0|1|0|"1"
