LucioVoreno|Como buena fontanera, una vez pillada dirá que no es encargada de nadie. Los oficiales de las SS llevaban cianuro en el hueco de una muela. Hoy con negarlo en una comisión de investigación que no vale para nada, se queda en que todo es un bulo de las derechas y tal. Un bulo volando.
Minombreyapellido|Todo lo que está psoeando es suficiente para que el gobierno fuera fulminado al momento.
Raquel20_21|Pretendían erradicar la prensa como contrapoder, y gracias a medios y periodistas valientes todo va saliendo a la luz. Qué gentuza se nos ha colado en el poder, no se merecen que nadie los vote nunca más hasta que expulsen al One y sus rastreros acólitos. Venga, ahora que salgan la tropa de bots de Ferraz a insultar y difamar a la oposición.
fgourie20|Pues eso. De la Vega de Pas, y anormal profunda. Qué culpa tendrán sus convecinos.
55manu|@TONGOYS #292 Cerrar Pero esta pájara no es la madre de Begoña. Es clavadita. Hace buena pareja con su marido, porque este no es un adonis precisamente, y cara de muy listo no tiene, de corrupto si y de algo más.
EmmaBovary|Tíñete también el bigote, anda, que queda feo
55manu|@camanino1 #298 Cerrar La cara es el espejo del alma. pues como tendra el toto, la pelleja esta.
lali|Corruptos y mafiosos no dejan de salir a la palestra. Esto ya no puede ser. Garrapatas asidas al poder abusando del pueblo.
camanino1|La cara es el espejo del alma.
Yaro|La enésima corrupta socialista. Y van... Sin duda trabajan por el bien común de todos los españoles, cuando les quede tiempo de sus chanchullos corruptos para saquear las arcas del estado e impedir a jueces y policías que les juzguen como lo que son: delincuentes.
prf|@TelemacoAD #3 Cerrar Dignificar la democracia? Que sinvergüenza, y que poca vergüenza los votantes de esta panda así es, se tiene este gobierno, porque sus votantes, piensan, hacen y trasmiten lo mismo. Que nos permiten ser unos sinvergüenzas, pues adelante.
lictor22|Marujon verbenero
elrealista|La verdad que cara de muy inteligente no tiene, pero para ser fontanera del PSOE de Sanchez les vale cualquiera, con el primer resquito les vasta ser corrupta en potencia y arrastrarse lo que haga falta . Valla joya de Museo de Cera para enmarcarla para la posteridad.
merendolo|Pero, ¿ cómo puede conseguir esta mujer ser tan fea ?
TONGOYS|Pero esta pájara no es la madre de Begoña. Es clavadita.
Atomico|Pues te digo yo que el peluquero o la peluquera se han pegado un buen curro para disimular su cara de cateta chupóptera.
oscaran3047|Y no pasa NADA. La corrupción PSOEtarra inunda todas las instituciones y la gente tan tranquila.
01010101|Los hemos pillado, otra vez. L. Díez, si se atreve a decir que puede interceder ante el Fiscal General por algo es. Naturalmente el gobierno a decir que "casi" ni la conoce.
Jjsusovick|Leire no está en nómina, se le paga en negro y en un sobre que recoge en Ferraz en efectivo. Las cuentas las lleva Bárcenas, creo.
Ciertamente_circunspecto|Ya que se le ha denunciado ya a esta mujer guapa y trabajadora, digo que yo que no será tan complicado que el juez de instrucción recabe el listado completo de llamadas de esta señora en el último año. Unas cuantas serán a Su Sanchidad.
Kierkegaard|@Romrom #16 Cerrar Estoy seguro de que esta fontanera del PSOE quería cargarse al Teniente Coronel de la UCO por su cuenta propia y sin haberlo consultado, ni pedido permiso, ni comentado con aquellos para quienes trabaja, ni recibido instrucción alguna y sin conocimiento por parte de sanchez (como no lo tenía con el enchufe del hermano) ni de bolaños. Es una persona que iba por libre y en el PSOE no sabían nada, ni lo consentían, ni lo compartían. Es más, seguro que sanchez da instrucciones al fiscal general y a la abogacía del Estado para querellarse contra ella, por conspirar contra las fuerzas y cuerpos de seguridad del Estado. Espero ansioso que hoy mismo dé una rueda de prensa para explicar todo esto Efectivamente, una loba solitaria.
Juannadieracso|Por favor, sólo pido una cosa, que algún día, sólo con pulsar un botón, pueda ir al primer comentario para poder revisarlos todos en orden, y no tener que dar doscientas veces para atrás en el "MÁS COMENTARIOS"
Atomico|"...Feminista. Educando en igualdad..." Osea, vividora de lo público y si es posible robando igual que todos. Y luego presumirá de "educadora"... ¿De qué? ¿De futuros mafiosos totalitarios? Mucho feminismo, pero al final a hacer el trabajo sucio del jefe a cambio de lo que sea, mientras el no se pringa. Feminismo así no quiero.
Juanfelipe|@Joaquin1 #271 Cerrar @ Juanfelipe # 175 art. 464, 1 Código Penal ¿Cómo dice?
Mikel1971|Solo hay que ver la cara que tiene esta ser vivo, aparte de picó agraciada desagradable...
Ciertamente_circunspecto|Lo del watergate es un chiste comparado con estas chapuzas. Y no pasa nada.
Ciertamente_circunspecto|Qué atractivo tiene esta señora y qué pinta tiene de haber trabajado duro. Su único trabajo habrá requerido unas buenas rodilleras.
Ciertamente_circunspecto|Qué guapa es esta señora.
pacodeasis2|Luego lo que nonhay es para pensiones y convencen a los jóvenes de ello
Atomico|Si es que no valen ni para chantajear... Me duele cada euro que cobran de mis impuestos, pero luego para las cosas de verdad nunca hay pasta. Una pena que no se lleven ciertas "tradiciones" de la Revolución Francesa.
CiudadanoMedio2012|Cada vez queda mas claro que no vinieron para solucionar los problemas de los españoles, sino para robar y permanecer en el poder a toda costa.
marrinton|Se fuerte Leire, tienes los hu*vos morenos del one en tus manos. Te dará lo que quieras, salvo si te condenan. Pero tu familia nunca pasará hambre, paga España. Anda que no hay empresas públicas con latisueldos, de los que ya has disfrutado aunque ahora en el PSOE no te conozcan ni tus jefes.
porenes55|Hay que aforarla con carácter de urgencia.. se lo merece!!!
LaliSevilla|Espero que la tipa dé con su cara de cemento en la cárcel (ella y su banda)
mariateal|Mucho sueldo para que todos sus compis digan que no la conocen.....manda mucho, periodista ??????? De nuevo, una y otra vez, nos toman por tontos y tontos seremos si seguimos defendiendo y votando lo indefendible.
Joaquin1|@Juanfelipe #175 Cerrar @ Joaquin1 # 165 ¿En qué delito dices que ha incurrido esa Leire Diez? art. 464, 1 Código Penal
Chuloide|@228dead #235 Cerrar jose maría olmo periodista del digital de la extrema derecha el confidencia ha sido acusado susceptiblemente por el abogado que ha sido espiado en este affaire como el que le ha puesto micrófonos en su despacho, mmm, esto se pone interesante, porque publicar conversaciones privadas de abogados con sus clientes es un delito grave de prisión y espero que así sea con qué cliente estaba? Sobre qué caso? No a las religiones no al socialismo
Lipglosmulticolor_|@Juanfelipe #216 Cerrar @ karka # 208 Ya sabes que a Grinan en los ERES, se le aplicó una teoría por los jueces de Sevilla, que por ejemplo no se le aolicó a Rajoy o a Esperanza Aguirre, esa de que cómo no íba a saber que otros (en otra Consejería que no era la suya) malversaban, aunque él no lo hiciera y no se llevara ni un euro. Teoría para uno y no para otros. Falta absoluta de pruebas, y ganó su recurso ante el TC. . Qué ganará su recurso cuando el TC esestaba Cumplido y mayoría PSOE sanchista y que el hijo de Cumplido le dieran un trabajó en Telefónica de 100.000 € anuales. Ustedes negar la mayor, es su mayor trabajo como súbditos servirles.
Fasfas|¿La expulsarán de la militancia? Que os apostáis a que no. Los sociatas todavía denunciarán a la UCO por filtraciones.
AlCamino|Esta cloaca pura del PSOE ya no tiene cabida en una democracia. Son una vergüenza para el país y para Europa.
Fasfas|Esto si que es acoso y extorsión contra gente honrada.
Lipglosmulticolor_|Pujol , lo recuerdan. El muy honorable catalán, también quiso cagarse a la UCO, cuando le informaron de los informes de investigación de la UCO , por corrupción del 3% y 4% de su gobierno y su partido. Así como al clan familiar por delitos de cohecho, trafico de influencias, delito fiscal, blanqueo de capitales, prevaricación, malversación y falsedad.
Ras|No me he leído su biografía pero he visto la foto, así que el veredicto es claro, una mafiosa más de la banda organizada de forajidos llamada PSOE
Nacho4590|Sé que es complicado, pero, ¿ hay algún aforado limpio? Necesitamos que esta señora ocupe su lugar
Alma_del_Averno|Es así de fea de nacimiento, o se desfiguro cuando la metieron enchufada en ENUSA, y " jugaba" con las barras de Uranio.
Alma_del_Averno|Está tía quiere ver muertos al Balas, y a todos nosotros.
maria-2006|Muy baja la noticia del Mundo. Uhy
El_futuro_ya_paso|@marcameron #248 Cerrar @ Juanfelipe # 236 Hay psiquiatras muy buenos, solo hay que dar el paso. Y baratos, quizá @Juanfelipe lo que le pare sea el coste.
El_futuro_ya_paso|Seguro que en español hay una palabra que signifique lo mismo que "insider" y que Quico Alsedo desconoce. Y otra que significa lo mismo que "background", es triste ser analfabeto pero más triste es serlo en dos idiomas.
Atomico|@228dead #235 Cerrar jose maría olmo periodista del digital de la extrema derecha el confidencia ha sido acusado susceptiblemente por el abogado que ha sido espiado en este affaire como el que le ha puesto micrófonos en su despacho, mmm, esto se pone interesante, porque publicar conversaciones privadas de abogados con sus clientes es un delito grave de prisión y espero que así sea No hay más ciego que el que no quiere ver...
jbara|Comienzo a entender porque Cerdan era tan amigo de Tito Berni.
Negroponte|@Community_Ferraz #198 Cerrar @ Juanfelipe # 112 Me informan que este mensaje no te lo contabilizarán a la hora de facturar. Recordad que no debéis saliros de las directivas que os hemos enviado desde Ferraz. Las palabras clave a utilizar hoy son: Mazón, Ayuso, Feijóo y ultraderecha. Saludos, compañero. Y Franco, falta Franco. Es que llevan 2 días sin sacarlo y hay que dejar descansar usar el de Ayuso, al menos hasta el viernes.
Nonuck|Que asco de gobierno.
Blanco11|Vaya ,,pico,, que tiene en las conversaciones que ha sido pillada...madre mía...
armrw17|Que alguien critique a UCO, policía, jueces y similares solo significa que les interesa vivir en la ilegalidad.
Mi_yo|@Juanfelipe #237 Cerrar Y tampoco se sabe la decisión del alcalde sobre el Director General de la policía municipal de su Ayuntamiento, que estuvo involucrado en un atropello, había una menor, y que según varios medios se tapó, ¿mirará para otro lado el duro con sus rivales, Almeida? Te pagan por esto o es voluntario?
ntl|@Juanfelipe #230 Cerrar Se publica que a Aldama se le adjudicó a dedo por el Ayuntamiento del PP de Madrid, con otro gobierno también del PP, dos restaurantes que luego alquiló sin autorización, llevándose una tajada de 150.000 €. El Ayuntamiento no se enteraba En uno de esos restaurantes celebró Ábalos su cumpleaños con Sánchez, Montero y no sé cuánta gente más.
Mi_yo|@Juanfelipe #236 Cerrar @ Maicol # 219 Lo digo y lo repito, táctica ya conocida del PP y sus medios para desgastar al gobierno. No hay ni por asomo la corrupción diaria y constanye del PP (con entrada de ministros del PP en prisión, del tesorero del PP, de Prrsidente de autonomía, de Presidentes de Diputación, de Alcaldes, de Consejeros autonómicos y Viceconsejeros, y la condena del PP como partido por corrupción tres veces. Aún queda el juicio de la policía patriótica del PP y 30 juicios más por hacer por hacer por corrupción. Como también que aquí mandan las sentencias, hasta que no haya condena todo es humo Hombre, en el PSOE no van a prisión porque los indultan, solo con los ERE han estafado más que el resto de partidos en toda su historia, pero insisto, los indultan. Cuando no, tratan de bloquear a la Justicia, cuando no secuestran al Tribunal Constitucional¿ y todo así. No soy de unos ni de otros, pero ahora tenemos muchos que acabarán en la cárcel o sin poder pisar el país, y si no al tiempo. Así que Juan Felipe¿ se te acaba el tiempo y creo que el trabajo.
